Date,Index
1998.458333,118.4386185
1998.541667,119.1653604
1998.625,119.7358019
1998.708333,120.0393442
1998.791667,120.0688295
1998.875,120.3271627
1998.958333,120.7217329
1999.041667,120.7807589
1999.125,120.9799118
1999.208333,121.4328872
1999.291667,121.619543
1999.375,122.8117147
1999.458333,124.1017321
1999.541667,124.7923064
1999.625,125.3963399
1999.708333,125.4424344
1999.791667,125.7720747
1999.875,126.1041848
1999.958333,126.6038364
2000.041667,126.7612222
2000.125,126.7329734
2000.208333,126.8152142
2000.291667,128.085228
2000.375,129.3856333
2000.458333,130.1412234
2000.541667,130.9123119
2000.625,131.9016891
2000.708333,131.9746186
2000.791667,132.4763058
2000.875,133.0921538
2000.958333,133.7847381
2001.041667,133.4611935
2001.125,133.4507133
2001.208333,134.0609708
2001.291667,134.5622497
2001.375,135.1063935
2001.458333,136.1661301
2001.541667,137.7009314
2001.625,138.6183027
2001.708333,138.5687819
2001.791667,139.2955431
2001.875,139.7204721
2001.958333,140.53554
2002.041667,140.6796588
2002.125,140.7046601
2002.208333,141.1299953
2002.291667,141.8683455
2002.375,143.7474516
2002.458333,145.5039801
2002.541667,146.949869
2002.625,147.6958009
2002.708333,148.3541798
2002.791667,148.8663937
2002.875,149.4624022
2002.958333,150.3949461
2003.041667,150.3239414
2003.125,149.9645323
2003.208333,150.2108647
2003.291667,151.9114763
2003.375,153.7340208
2003.458333,155.1798876
2003.541667,156.6633329
2003.625,157.5969841
2003.708333,158.372328
2003.791667,159.586804
2003.875,160.9366468
2003.958333,162.1132392
2004.041667,162.5720669
2004.125,163.2192965
2004.208333,164.5159632
2004.291667,166.3776211
2004.375,167.845989
2004.458333,169.7774352
2004.541667,172.1002231
2004.625,173.677152
2004.708333,174.7704858
2004.791667,175.1899268
2004.875,176.4414167
2004.958333,178.4127313
2005.041667,179.6789261
2005.125,180.6520679
2005.208333,182.1836261
2005.291667,183.6252903
2005.375,186.6121436
2005.458333,189.2345905
2005.541667,190.643979
2005.625,191.663758
2005.708333,191.1678188
2005.791667,192.0117141
2005.875,194.5659437
2005.958333,195.8287334
2006.041667,195.1254121
2006.125,195.455184
2006.208333,195.7156321
2006.291667,195.0169579
2006.375,194.8273838
2006.458333,194.6225758
2006.541667,194.1160437
2006.625,193.5232582
2006.708333,194.2587479
2006.791667,195.1638943
2006.875,195.0042151
2006.958333,194.2880685
2007.041667,193.1566282
2007.125,191.8689563
2007.208333,189.8489921
2007.291667,188.5594763
2007.375,187.1611143
2007.458333,186.4458218
2007.541667,185.9313615
2007.625,185.4928899
2007.708333,183.8418498
2007.791667,181.8210854
2007.875,178.3377645
2007.958333,176.598277
2008.041667,173.4328354
2008.125,171.0233023
2008.208333,168.262892
2008.291667,166.6688694
2008.375,164.9787968
2008.458333,162.8625356
2008.541667,161.2121982
2008.625,160.4567558
2008.708333,158.3640175
2008.791667,157.2600801
2008.875,157.2163492
2008.958333,155.2715545
